productCode,section,category,name,onecname,extraDescription,description,size,color,country,manufacturer,packageSize,characteristics,measureUnit,stock,price,images
<<<<<<< HEAD
00000000010,Расходные материалы,Одноразовое и стерильное белье,Салфетки нагрудные,Салфетки Евронда,"салфетки ,","Из гофрированной бумаги
Не содержит хлора и диоксина
Предотвращает окисление и появление ржавчины на инструментах
Удаляет остаточную влагу при стерилизации неупакованных инструментов",50 шт,,Италия,,50 шт,"Цвет: Разное
Размер: 18*28 см
Производитель: Euronda",шт,1.985,1250.0,https://denttrade.kg/wp-content/uploads/2020/01/5e3931e3ad6ff.jpg
00000000011,Расходные материалы,Одноразовое и стерильное белье,Передники,Салфетки ламинированные Standart 33*45,"салфетки ,нагудник","Индивидуальное гигиеническое средство - салфетка. Используется для накрывания груди клиента/пациента в целях защиты одежды во время косметологических, стоматологических и других  процедур. размер 33*45 см (330*450 мм) Подробнее: https://krasno.kz/p38051364-salfetki-3345-nagrudnye.html",500 шт/коробка,,Россия,,500 шт/коробка,"в 1 коробке 500 шт
Размер коробки (25*36*25) ",шт,7.5,6000.0,https://images.satu.kz/70023417_w640_h640_salfetki-3345-nagrudnye.jpg
00000000013,Расходные материалы,Одноразовое и стерильное белье,Бахилы плотные 20 мкм,Бахилы из прочного полиэтилена 20 мкм на резинке н/стер,,Бахилы из прочного полиэтилена 20 мкм на резинке н/стер,50 шт,Синий,Россия,,50 шт,,шт,1.5,800.0,https://el-dent.ru/UserFiles/Image/img5060_22237_big.jpg
00000000014,Расходные материалы,Одноразовое и стерильное белье,Маска медицинская,Маска трехслойная,"Маски, защитные маски, медицинские маски","Изготовлены из высококачественных нетканных материалов, которые обеспечивают высокую степень фильтрации и препятствуют проникновению биологических жидкостей. Маски обладают высокой воздухопроницаемостью, сохраняя при этом антибактериальную эффективность на максимальном уровне.
Внутренний слой отличается низким уровнем ворсоотделения, отвечающий высоким требованиям по уровню комфорта и защиты.",50 шт,Голубой,Казахстан,Биола,50 шт,,упак,3.0,600.0,https://resources.cdn-kaspi.kz/img/m/p/he9/h98/64124956704798.jpg?format=gallery-large
00000000015,Расходные материалы,Ретракторы и роторасширители,OptraGate ,OptraGate Regular,"Роторасширители, прикусные блоки, оптрагейты, регуляр, regular","OptraGate - это вспомогательное средство для увеличения рабочего поля просто, эффективно и комфортно. Губы и щеки полностью отодвигаются, за счет чего обеспечивается относительная изоляция рабочего поля от слюны. OptraGate комфортен даже при длительном наложении благодаря своей трехмерной гибкости. OptraGate обеспечивает стоматологам и ассистентам упрощенный доступ к заметно увеличенному рабочему полю.
Приспособление создает мягкую круговую ретракцию губ и щек от передних до боковых зубов без использования каких-либо громоздких инструментов. Губы полностью перекрываются, тем самым обеспечивается их защита.",R,Белый,Германия,Ivoclar Vivadent,1 шт,"Regular — стандартные (8,5*7,5 см), Small — маленькие (7,5 х 6,5 см), Junior — подростковые (7,5 х 5,0 см) — для детей от 5 до 10 лет",шт,,900.0,https://shop.dentomir.ru/upload/iblock/f9d/f9dff6754edf9863c954ea1c3d019c39.jpg
00000000016,Расходные материалы,Одноразовое и стерильное белье,Шапочка-берет,Шапочка-берет,"Шапочка, медицинская шапочка, берет, с резинкой","Шапочка-берет - это идеальный выбор для защиты головы от влаги и сохранения комфорта во время использования. Высокая степень воздухопроницаемости,  эргономичность, гипоаллергенность; воздухопроницаемость; отсутствие токсичности; гидрофобные особенности; устойчивость к кислотам; маленький вес, надежная фиксация.",15 г/м2,Белый,Россия,Unite,100 шт,Шапочка не оставляет следов на голове и исключает возможность передавливания сосудов.,упак,2.8,1500.0,"https://basket-04.wbbasket.ru/vol672/part67282/67282022/images/big/1.jpg,https://s13emagst.akamaized.net/products/29786/29785984/images/res_286722b94c146c60180db4548cfd71e2.jpg"
00000000017,Расходные материалы,Ретракторы и роторасширители,OptraGate ,ОптраГейт-ретрактор о/р малый,"ОПТРАГЕЙТ (OPTRAGATE) ,ретрактор","OptraGate — новшество в стоматологии, обеспечивает комфорт и высокое качество работы. Оптрагейт — ротовой ретрактор губ, одноразового использования",S,Белый,Германия,Ivoclar Vivadent,1 шт,"Regular — стандартные (8,5*7,5 см), Small — маленькие (7,5 х 6,5 см), Junior — подростковые (7,5 х 5,0 см) — для детей от 5 до 10 лет",шт,44.0,900.0,https://dentalshop.kz/dentalshop/images/optragejt.jpg
00000000018,Расходные материалы,Аппликаторы,Микроаппликаторы,Микроапликаторы 1 черные,"микроаппликатор, микробраш, аппликатор","Микроаппликаторы стоматологические Clean+Safe предназначены для нанесения бондинговых систем, протравочных стоматологических гелей, жидкотекучих материалов. Экономичное и удобное внесение (аппликация) стоматологических материалов.",1 мм,Черный,Малайзия,Clean+Safe,100 шт,"Универсальные средства для комфортного нанесения медикаментозных препаратов, а также различных растворов и вязких веществ.",упак,48.0,1400.0,https://proteco.kz/upload/iblock/f7c/qgyzzx6av301mz43wtticcgxjyba3xvp.jpg
00000000019,Полировочные системы,Полир,Энхансы для финишной обработки Enhance Finishing Cups,Диски для финишной обработки Enhance Finishing Cups №30,"Энхансы, полировочные чашки, полировка, финишная обработка, обработка и полировка","Система для полировки и финишной обработки Enhance Composite Finishing & Polishing System создана для проведения финишной обработки композитных материалов, используемых во фронтальной и жевательной группах зубов, а также для применения в любых других случаях, требующих финишной обработки.  Форма ""чашка"" используется для обработки окклюзионных поверхностей моляров и премоляров. С помощью полиров Enhance возможно проводить контурирование и финирование одним инструментом, лишь изменяя силу нажатия.",Диск,Бежевый,США,Dentsply Sirona,1 шт,"Контурирование, придание окончательной формы и полировка реставраций из композитных материалов.",шт,148.0,1400.0,
00000000020,Полировочные системы,Полир,Энхансы для финишной обработки Enhance Finishing Cups,Чашки для финишной обработки Enhance Finishing Cups №30,"Энхансы, полировочные чашки, полировка, финишная обработка, обработка и полировка","Система для полировки и финишной обработки Enhance Composite Finishing & Polishing System создана для проведения финишной обработки композитных материалов, используемых во фронтальной и жевательной группах зубов, а также для применения в любых других случаях, требующих финишной обработки.  Форма ""чашка"" используется для обработки окклюзионных поверхностей моляров и премоляров. С помощью полиров Enhance возможно проводить контурирование и финирование одним инструментом, лишь изменяя силу нажатия.",Чашка,Бежевый,США,Dentsply Sirona,1 шт,"Контурирование, придание окончательной формы и полировка реставраций из композитных материалов.",шт,148.0,1400.0,"https://lavka-dantista.ru/upload/iblock/5fc/5fcda36d05a332e457b174a9cbfc9c59.jpg , https://cdn1.ozone.ru/s3/multimedia-3/c500/6547027419.jpg"
00000000021,Терапия,Штифты,Штифт внутриканальный,"Штифт внутриканальный L1, L2,L3","Штифты, инструменты для эндодонтии, штифты внутриканальные","Внутриканальный анкерный титановый штифт от российского производителя «Форма» незаменим при дополнительном укреплении поврежденного зуба. Форма и размер штифтов разная, что позволяет работать с разными элементами зубного ряда. Конструкция позволяет быстро и легко установить и зафиксировать штифт в корневой канал.",L3,Белый,Россия,ООО «ФОРМА»,6 шт,Штифты  внутриканальный,упак,21.0,1000.0,https://www.tdspiter.ru/images/thumbnails/1024/1024/detailed/3/620b2c6f-9e01-4d64-9a4d-22aea208b7c8_8b4ad565-bd3b-11e6-b153-000c297447de.jpeg
000000000211,Терапия,Штифты,Штифт внутриканальный,"Штифт внутриканальный L1, L2,L3","Штифты, инструменты для эндодонтии, штифты внутриканальные","Внутриканальный анкерный титановый штифт от российского производителя «Форма» незаменим при дополнительном укреплении поврежденного зуба. Форма и размер штифтов разная, что позволяет работать с разными элементами зубного ряда. Конструкция позволяет быстро и легко установить и зафиксировать штифт в корневой канал.",L1,Белый,Россия,ООО «ФОРМА»,6 шт,Штифты  внутриканальный,упак,21.0,1000.0,https://www.tdspiter.ru/images/thumbnails/1024/1024/detailed/3/620b2c6f-9e01-4d64-9a4d-22aea208b7c8_8b4ad565-bd3b-11e6-b153-000c297447de.jpeg
000000000212,Терапия,Штифты,Штифт внутриканальный,"Штифт внутриканальный L1, L2,L3",,,L2,Белый,Россия,ООО «ФОРМА»,6 шт,Штифты  внутриканальный,упак,21.0,1000.0,https://www.tdspiter.ru/images/thumbnails/1024/1024/detailed/3/620b2c6f-9e01-4d64-9a4d-22aea208b7c8_8b4ad565-bd3b-11e6-b153-000c297447de.jpeg
00000000022,Полировочные системы,Полир,Энхансы для финишной обработки Enhance Finishing Cups,Конусы для финишной обработки Enhance Finishing Points №30,"Энхенс, энханс, полировка, финишная",Полиры Enhance Finishing одноразовые для финишной обработки.,Конус,,США,Dentsply Sirona,,,шт,128.0,1400.0,https://shop.dentomir.ru/upload/iblock/d46/d466c5b321eab1eb09bcd915ea4b9506.png
00000000023,Полировочные системы,Полир,Полировочные головки Siliflex,Головки эластичные стоматологические Siliflex (СК14) (диск),"Финишная полировка, полиры, полировочные резинки, Полировочные системы",Головки эластичные стоматологические Siliflex (СК14) (диск),Диск,"Бордовый, белый, голубой",,,1 шт,,шт,3.0,750.0,https://celit.ru/upload/iblock/cd5/cd536d2a5bff68642d1b238ada0788f4.png
00000000025,Полировочные системы,Полир,Полировочные головки Siliflex,Головки элостичные silflex голубые,"Финишная полировка, полиры, полировочные резинки, Полировочные системы",Головки элостичные silflex голубые,Конус,"Бордовый, белый, голубой",,,,,шт,124.0,750.0,https://celit.ru/upload/iblock/cd5/cd536d2a5bff68642d1b238ada0788f4.png
